"What country has the highest life expectancy?", Hong Kong
"Where would you be if you were standing on the Spanish Steps?", Rome
"Which language has the more native speakers: English or Spanish?", Spanish
"What is the most common surname in the United States?", Smith
"What disease commonly spread on pirate ships?", Scurvy
"Who was the Ancient Greek God of the Sun?", Apollo
"What was the name of the crime boss who was head of the feared Chicago Outfit?", Al Capone
"What year was the United Nations established?", 1945
"Who has won the most total Academy Awards?", Walt Disney
"What artist has the most streams on Spotify?", Drake
"How many minutes are in a full week?", 10080
"What car manufacturer had the highest revenue in 2020?", Volkswagen
"How many elements are in the periodic table?", 118
"What company was originally called ""Cadabra""?", Amazon
"How many faces does a Dodecahedron have?", 12
"Queen guitarist Brian May is also an expert in what scientific field?", Astrophysics
"Aureolin is a shade of what color?", Yellow
"How many ghosts chase Pac-Man at the start of each game?", 4
"What Renaissance artist is buried in Rome's Pantheon?", Raphael
"What shoe brand makes the ""Mexico 66""?", Onitsuka Tiger
"What game studio makes the Red Dead Redemption series?", Rockstar Games
"Who was the last Tsar of Russia?", Nicholas II
"What character have both Robert Downey Jr. and Benedict Cumberbatch played?", Sherlock Holmes
"What country drinks the most coffee per capita?", Finland
"Which planet in the Milky Way is the hottest?", Venus
"What is the 4th letter of the Greek alphabet?", Delta
"What sports car company manufactures the 911?", Porsche
"What city is known as ""The Eternal City""?", Rome
"Roald Amundsen was the first man to reach the South Pole, but where was he from?", Norway
"What is the highest-rated film on IMDb as of January 1st, 2022?", The Shawshank Redemption
"Who discovered that the earth revolves around the sun?", Nicolaus Copernicus
"What company was initially known as ""Blue Ribbon Sports""?", Nike
"What art form is described as ""decorative handwriting or handwritten lettering""?", Calligraphy
"Which planet has the most moons?", Saturn
"What country has won the most World Cups?", Brazil
"Complete the following lyrics - ""I should have changed that stupid lock.....""", I should have made you leave your key
"Kratos is the main character of what video game series?", God of War
"In what country would you find Mount Kilimanjaro?", Tanzania
"What is a group of pandas known as?", An embarrassment
"What European country experienced the highest rate of population decline from 2015 - 2020?", Lithuania
"How many bones do we have in an ear?", 3
"Who famously crossed the Alps with elephants on the way to war with the Romans?", Hannibal
"True or False: Halloween originated as an ancient Irish festival.", True
"What Netflix show had the most streaming views in 2021?", Squid Game
"Which grammy-nominated New York rapper died in April of 2021?", DMX
"What software company is headquartered in Redmond, Washington?", Microsoft
"What is the largest Spanish-speaking city in the world?", Mexico City
"What is the world's fastest bird?", The Peregrine Falcon
"In what country is the Chernobyl nuclear plant located?", Ukraine
"The Parthenon Marbles are controversially located in what museum?", The British Museum